,Player,position,sub_position,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh_df8,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches_x,Cmp_x,Att_x,Cmp%,TotDist_df10,PrgDist_df10,Cmp_x.1,Att_x.1,Cmp%.1,Cmp_x.2,Att_x.2,Cmp%.2,Cmp_x.3,Att_x.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3_df10,PPA,CrsPA,PrgP,Matches_y,Att_y,Live_df10,Dead,FK_y,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_y,Off,Blocksdf9,Matches_df8,SCA,SCA90,PassLive,PassDead,TO,Sh_df4,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh_df4.1,Fld.1,Def.1,Matches_df4,Tkl,TklW,Def 3rd_df10,Mid 3rd_df10,Att 3rd_df10,Tkl.1,Att_df10,Tkl%,Lost,Blocks_df5,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches_df10,Touches,Def Pen,Def 3rd_df6,Mid 3rd_df6,Att 3rd_df6,Att Pen,Live_df6,Att_df6,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_df6,PrgDist_df6,PrgC,1/3_df6,CPA,Mis,Dis,Rec,PrgR,Matches_df6
20202,Pablo Maffeo,Defender,Right-Back,es ESP,DF,Mallorca,es La Liga,26,1997,16.2,1,11,4,36.4,0.68,0.25,0.09,0.25,23.3,0,0,0,0.8,0.8,0.07,0.2,0.2,Matches,374,603,62,6550,2806,172,207,83.1,155,233,66.5,38,116,32.8,2,0.9,0.9,1.1,11,32,9,8,41,Matches,603,482,119,2,2,2,67,116,1,0,0,0,374,2,20,Matches,37,2.21,18,4,6,2,6,1,5,0.3,3,0,0,1,1,0,Matches,35,22,18,13,4,23,40,57.5,17,12,2,10,10,45,23,0,Matches,771,33,178,337,268,27,771,35,16,45.7,13,37.1,369,2332,1095,38,33,11,36,14,410,68,Matches
20213,Pablo Pagis,Attack,Centre-Forward,fr FRA,MF,Lorient,fr Ligue 1,20,2002,1.8,0,3,1,33.3,1.64,0.55,0,0,25.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,46,61,75.4,795,127,19,23,82.6,20,26,76.9,5,9,55.6,0,0,0.2,0,0,2,0,0,5,Matches,61,58,3,0,0,1,2,0,3,1,0,0,46,0,0,Matches,3,1.65,0,0,1,0,2,0,0,0,0,0,0,0,0,0,Matches,10,6,5,4,1,6,10,60,4,2,0,2,3,13,1,0,Matches,89,1,15,45,29,2,89,2,1,50,1,50,64,308,105,1,2,0,5,1,62,6,Matches
20220,Pablo Rosario,Midfield,Defensive Midfield,nl NED,"MF,DF",Nice,fr Ligue 1,26,1997,22.3,0,16,2,12.5,0.72,0.09,0,0,13.1,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches,1056,1187,89,17440,5722,478,524,91.2,496,534,92.9,52,80,65,0,1.4,1.5,-1.4,17,81,14,3,93,Matches,1187,1103,81,32,5,0,6,49,0,0,0,0,1056,3,15,Matches,39,1.75,34,1,0,1,2,1,5,0.22,2,0,0,1,2,0,Matches,36,25,15,16,5,23,34,67.6,11,27,13,14,29,65,39,0,Matches,1398,80,425,814,164,22,1398,20,11,55,8,40,1031,4765,2214,20,19,2,26,15,987,27,Matches
20224,Pablo Sarabia,Attack,Right Winger,es ESP,"MF,FW",Wolves,eng Premier League,31,1992,19.4,4,44,16,36.4,2.27,0.83,0.05,0.13,19.1,7,2,2,5.5,3.9,0.09,-1.5,-1.9,Matches,684,976,70.1,11034,3731,377,439,85.9,195,263,74.1,73,168,43.5,7,5.9,4.9,1.1,51,59,40,6,109,Matches,976,837,130,34,9,7,131,7,71,37,19,10,684,9,44,Matches,87,4.49,49,26,2,4,5,1,11,0.57,7,4,0,0,0,0,Matches,20,13,8,8,4,12,36,33.3,24,17,1,16,10,30,9,0,Matches,1172,13,137,552,495,55,1170,43,17,39.5,22,51.2,687,3304,1501,41,52,9,41,23,822,137,Matches
20225,Pablo Torre,Midfield,Central Midfield,es ESP,"MF,FW",Girona,es La Liga,20,2003,7.8,0,13,1,7.7,1.67,0.13,0,0,19.3,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches,356,429,83,5756,1588,193,218,88.5,126,145,86.9,27,40,67.5,2,0.9,1.5,1.1,11,42,17,0,65,Matches,429,416,11,5,8,3,7,0,1,0,1,0,356,2,8,Matches,24,3.07,24,0,0,0,0,0,6,0.77,6,0,0,0,0,0,Matches,5,2,0,5,0,4,10,40,6,10,2,8,4,9,6,1,Matches,518,10,68,260,195,24,518,19,6,31.6,10,52.6,359,1713,909,25,18,4,17,13,424,40,Matches
20327,Pape Gueye,Midfield,Defensive Midfield,sn SEN,"MF,DF",Marseille,fr Ligue 1,24,1999,8.5,1,8,2,25,0.94,0.24,0.13,0.5,20.3,0,0,0,0.4,0.4,0.05,0.6,0.6,Matches,396,487,81.3,7394,2225,140,163,85.9,200,222,90.1,44,77,57.1,0,0.8,0.5,-0.8,4,52,6,0,61,Matches,487,475,11,10,0,1,9,1,0,0,0,0,396,1,10,Matches,19,2.24,16,0,0,1,2,0,2,0.24,2,0,0,0,0,0,Matches,33,21,11,19,3,13,19,68.4,6,17,3,14,13,46,12,0,Matches,602,19,108,389,110,8,602,9,1,11.1,5,55.6,449,2298,1076,8,13,0,11,8,419,18,Matches
20329,Pape Matar Sarr,Midfield,Central Midfield,sn SEN,MF,Tottenham,eng Premier League,20,2002,23,3,36,13,36.1,1.57,0.57,0.08,0.23,17.6,0,0,0,3.4,3.4,0.1,-0.4,-0.4,Matches,1179,1349,87.4,17118,4177,662,718,92.2,402,453,88.7,52,77,67.5,3,2.2,2.1,0.8,20,108,23,4,150,Matches,1349,1329,18,5,6,3,25,9,1,0,0,0,1179,2,27,Matches,52,2.26,43,0,0,3,2,4,7,0.3,6,0,0,1,0,0,Matches,34,24,11,17,6,15,36,41.7,21,21,5,16,31,65,28,1,Matches,1582,64,283,830,486,44,1582,38,19,50,17,44.7,1041,5912,2263,43,58,3,37,15,1197,90,Matches
20356,Pascal Stenzel,Defender,Right-Back,de GER,DF,Stuttgart,de Bundesliga,27,1996,11.8,0,14,4,28.6,1.18,0.34,0,0,28.2,1,0,0,0.3,0.3,0.02,-0.3,-0.3,Matches,715,824,86.8,13536,3889,304,330,92.1,293,327,89.6,104,134,77.6,5,3.2,2.4,1.8,15,66,25,8,85,Matches,824,694,128,23,2,17,26,103,2,0,2,0,715,2,13,Matches,38,3.22,31,1,2,1,2,1,10,0.85,9,0,1,0,0,0,Matches,18,8,7,9,2,10,30,33.3,20,22,8,14,15,33,26,0,Matches,947,45,217,498,237,4,947,8,6,75,2,25,491,2454,1346,34,31,1,16,6,595,46,Matches
20365,Pasquale Mazzocchi,Defender,Right-Back,it ITA,DF,Napoli,it Serie A,28,1995,4.8,0,5,1,20,1.05,0.21,0,0,24.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,225,276,81.5,3611,1120,136,148,91.9,74,100,74,15,24,62.5,1,0.2,0.3,0.8,3,18,6,3,24,Matches,276,237,39,4,2,3,14,35,0,0,0,0,225,0,2,Matches,7,1.48,6,0,0,1,0,0,1,0.21,1,0,0,0,0,0,Matches,5,2,1,2,2,2,3,66.7,1,5,1,4,1,6,13,0,Matches,328,12,92,155,82,6,328,18,6,33.3,9,50,190,1262,559,14,13,2,5,3,213,22,Matches
20366,Pasquale Mazzocchi,Defender,Right-Back,it ITA,DF,Salernitana,it Serie A,28,1995,14.1,0,8,1,12.5,0.57,0.07,0,0,28.6,1,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,460,635,72.4,6631,3051,276,317,87.1,149,210,71,20,68,29.4,1,1.3,1,-0.3,14,30,16,10,36,Matches,635,502,131,11,1,4,42,119,1,0,1,0,460,2,17,Matches,30,2.12,26,1,0,2,1,0,2,0.14,2,0,0,0,0,0,Matches,25,19,14,10,1,16,29,55.2,13,14,6,8,5,30,31,0,Matches,780,47,253,327,210,12,780,40,17,42.5,19,47.5,384,2438,1358,36,29,5,31,13,440,62,Matches
20396,Patrick Ciurria,Attack,Right Winger,it ITA,"DF,MF",Monza,it Serie A,28,1995,17.8,0,28,7,25,1.58,0.39,0,0,22.6,0,0,0,1.5,1.5,0.05,-1.5,-1.5,Matches,662,847,78.2,10671,3258,335,377,88.9,271,348,77.9,41,72,56.9,1,2.6,2.1,-1.6,30,46,28,10,68,Matches,847,740,106,7,2,2,53,92,7,2,4,0,662,1,25,Matches,53,2.98,43,4,2,2,1,1,3,0.17,2,0,0,1,0,0,Matches,30,18,13,13,4,13,21,61.9,8,20,5,15,9,39,28,0,Matches,1021,39,269,411,350,31,1021,24,9,37.5,11,45.8,597,2981,1581,41,41,9,19,6,711,94,Matches
20426,Patrick Osterhage,Midfield,Central Midfield,de GER,MF,Bochum,de Bundesliga,23,2000,20.7,2,22,3,13.6,1.06,0.15,0.09,0.67,19.5,0,0,0,1.4,1.4,0.06,0.6,0.6,Matches,658,835,78.8,9287,2817,378,439,86.1,200,248,80.6,35,59,59.3,1,0.8,0.7,0.2,13,49,13,2,64,Matches,835,812,20,10,5,1,20,7,3,1,0,0,658,3,27,Matches,49,2.37,40,1,3,1,3,1,3,0.15,2,0,1,0,0,0,Matches,38,26,14,23,1,17,36,47.2,19,36,9,27,27,65,32,1,Matches,1081,58,252,592,251,29,1081,38,17,44.7,19,50,547,2899,1232,26,16,3,33,17,603,65,Matches
20445,Patrick Wimmer,Attack,Right Winger,at AUT,"FW,MF",Wolfsburg,de Bundesliga,22,2001,6.5,2,10,4,40,1.53,0.61,0.2,0.5,16.2,0,0,0,1.4,1.4,0.14,0.6,0.6,Matches,128,200,64,1822,525,78,101,77.2,35,57,61.4,5,15,33.3,0,0.1,0.3,-0.1,4,11,3,0,15,Matches,200,193,7,2,0,3,12,4,1,1,0,0,128,0,10,Matches,16,2.44,7,0,2,2,5,0,1,0.15,0,0,0,0,1,0,Matches,14,5,5,5,4,8,18,44.4,10,14,0,14,3,17,7,0,Matches,292,2,42,138,117,23,292,18,8,44.4,9,50,165,935,441,8,8,3,18,6,197,44,Matches
20451,Patrik Schick,Attack,Centre-Forward,cz CZE,FW,Leverkusen,de Bundesliga,27,1996,11.8,7,39,12,30.8,3.3,1.02,0.15,0.5,12.7,0,1,1,6,5.3,0.13,1,0.7,Matches,184,231,79.7,2218,317,129,155,83.2,42,50,84,3,4,75,0,1,1.6,-1,8,8,5,0,17,Matches,231,220,11,0,1,1,1,2,0,0,0,0,184,0,5,Matches,30,2.54,19,0,3,5,2,1,3,0.25,0,0,0,2,1,0,Matches,6,4,0,3,3,1,5,20,4,2,0,2,1,7,7,0,Matches,350,7,15,132,208,90,349,25,8,32,14,56,191,814,265,7,4,5,23,17,281,88,Matches
20468,Pau Torres,Defender,Centre-Back,es ESP,DF,Aston Villa,eng Premier League,26,1997,27.4,2,12,5,41.7,0.44,0.18,0.17,0.4,15.4,0,0,0,1,1,0.08,1,1,Matches,1562,1788,87.4,29096,9616,524,566,92.6,887,952,93.2,126,226,55.8,0,0.4,0.7,-0.4,8,141,12,1,128,Matches,1788,1663,120,79,1,26,8,5,0,0,0,0,1562,5,9,Matches,23,0.84,22,1,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches,29,18,17,11,1,14,30,46.7,16,28,12,16,14,43,75,0,Matches,1985,281,989,873,141,22,1985,28,17,60.7,9,32.1,1398,9039,5917,42,42,0,9,13,1456,16,Matches
20539,Paulo Dybala,Attack,Second Striker,ar ARG,"FW,MF",Roma,it Serie A,29,1993,21.8,13,52,16,30.8,2.39,0.74,0.12,0.38,21.2,5,7,7,10.6,5.1,0.1,2.4,0.9,Matches,790,1000,79,12944,3000,409,461,88.7,272,330,82.4,80,140,57.1,9,4.3,4,4.7,50,67,37,0,122,Matches,1000,877,117,27,7,11,88,10,54,22,27,0,790,6,20,Matches,95,4.36,56,25,3,4,6,1,19,0.87,12,4,2,0,1,0,Matches,22,13,3,10,9,2,18,11.1,16,12,0,12,3,25,6,1,Matches,1277,8,87,590,612,88,1270,77,28,36.4,43,55.8,808,5078,2296,79,61,31,70,41,993,167,Matches
20617,Pawel Dawidowicz,Defender,Centre-Back,pl POL,DF,Hellas Verona,it Serie A,28,1995,23.8,0,9,1,11.1,0.38,0.04,0,0,11.5,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,972,1173,82.9,20339,7048,247,302,81.8,587,647,90.7,131,199,65.8,0,0,0.1,0,2,60,2,0,89,Matches,1173,1102,70,52,0,11,2,10,0,0,0,0,972,1,12,Matches,11,0.46,8,1,0,2,0,0,1,0.04,0,0,0,1,0,0,Matches,53,30,33,18,2,17,29,58.6,12,17,9,8,24,77,114,1,Matches,1425,187,749,642,42,14,1425,5,4,80,1,20,749,3833,1819,11,8,0,13,5,787,5,Matches
20629,Pedri,Midfield,Central Midfield,es ESP,"MF,FW",Barcelona,es La Liga,20,2002,16.4,4,15,7,46.7,0.91,0.43,0.27,0.57,14.5,0,0,0,3.1,3.1,0.21,0.9,0.9,Matches,1035,1189,87,17171,3933,497,555,89.5,435,478,91,78,95,82.1,2,4.2,4.1,-2.2,37,83,37,4,136,Matches,1189,1138,44,23,11,5,9,8,3,0,2,0,1035,7,23,Matches,69,4.21,63,1,1,1,3,0,6,0.37,6,0,0,0,0,0,Matches,33,24,16,13,4,8,27,29.6,19,27,3,24,14,47,10,0,Matches,1359,22,171,773,427,36,1359,38,16,42.1,20,52.6,823,4535,2333,41,42,7,31,15,1080,81,Matches
20634,Pedro,Attack,Attacking Midfield,es ESP,"FW,MF",Lazio,it Serie A,36,1987,9.1,1,11,4,36.4,1.21,0.44,0.09,0.25,20,1,0,0,1.5,1.5,0.14,-0.5,-0.5,Matches,357,431,82.8,5072,974,214,236,90.7,109,132,82.6,17,33,51.5,1,2.1,1.5,-1.1,17,22,13,4,33,Matches,431,422,8,4,2,2,20,0,4,2,2,0,357,1,7,Matches,27,2.97,21,1,3,0,2,0,1,0.11,1,0,0,0,0,0,Matches,16,12,5,7,4,3,12,25,9,16,2,14,3,19,1,0,Matches,551,4,60,297,203,25,551,32,14,43.8,14,43.8,334,2084,917,31,30,4,29,17,442,81,Matches
20635,Pedro,Attack,Centre-Forward,es ESP,"FW,MF",Lazio,it Serie A,36,1987,9.1,1,11,4,36.4,1.21,0.44,0.09,0.25,20,1,0,0,1.5,1.5,0.14,-0.5,-0.5,Matches,357,431,82.8,5072,974,214,236,90.7,109,132,82.6,17,33,51.5,1,2.1,1.5,-1.1,17,22,13,4,33,Matches,431,422,8,4,2,2,20,0,4,2,2,0,357,1,7,Matches,27,2.97,21,1,3,0,2,0,1,0.11,1,0,0,0,0,0,Matches,16,12,5,7,4,3,12,25,9,16,2,14,3,19,1,0,Matches,551,4,60,297,203,25,551,32,14,43.8,14,43.8,334,2084,917,31,30,4,29,17,442,81,Matches
20636,Pedro,Attack,Right Winger,es ESP,"FW,MF",Lazio,it Serie A,36,1987,9.1,1,11,4,36.4,1.21,0.44,0.09,0.25,20,1,0,0,1.5,1.5,0.14,-0.5,-0.5,Matches,357,431,82.8,5072,974,214,236,90.7,109,132,82.6,17,33,51.5,1,2.1,1.5,-1.1,17,22,13,4,33,Matches,431,422,8,4,2,2,20,0,4,2,2,0,357,1,7,Matches,27,2.97,21,1,3,0,2,0,1,0.11,1,0,0,0,0,0,Matches,16,12,5,7,4,3,12,25,9,16,2,14,3,19,1,0,Matches,551,4,60,297,203,25,551,32,14,43.8,14,43.8,334,2084,917,31,30,4,29,17,442,81,Matches
20650,Pedro Chirivella,Midfield,Defensive Midfield,es ESP,MF,Nantes,fr Ligue 1,26,1997,28.8,1,17,6,35.3,0.59,0.21,0.06,0.17,19.8,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches,1494,1743,85.7,25864,7906,653,701,93.2,631,692,91.2,146,254,57.5,1,1.1,2.8,-0.1,19,168,22,7,192,Matches,1743,1628,105,67,7,10,29,4,13,8,2,0,1494,10,13,Matches,69,2.39,61,3,0,3,0,2,4,0.14,4,0,0,0,0,0,Matches,50,28,20,29,1,30,76,39.5,46,22,5,17,31,81,28,0,Matches,1935,61,373,1260,310,26,1935,8,5,62.5,2,25,1529,6608,2446,10,23,4,23,14,1440,55,Matches
20680,Pedro Neto,Attack,Left Winger,pt POR,"FW,MF",Wolves,eng Premier League,23,2000,16.8,2,36,12,33.3,2.14,0.71,0.06,0.17,16.8,3,0,0,3.5,3.5,0.1,-1.5,-1.5,Matches,538,722,74.5,8269,1984,308,354,87,154,210,73.3,49,98,50,9,4.4,3.7,4.6,38,23,29,12,54,Matches,722,645,73,23,1,5,115,14,34,16,10,2,538,4,17,Matches,75,4.45,41,15,8,4,7,0,14,0.83,8,2,2,1,1,0,Matches,7,3,3,2,2,5,15,33.3,10,5,1,4,5,12,2,0,Matches,904,4,63,358,505,83,904,88,37,42,42,47.7,581,4915,2615,98,65,42,44,20,683,149,Matches
20690,Pedro Porro,Defender,Right-Back,es ESP,DF,Tottenham,eng Premier League,23,1999,34.3,3,53,12,22.6,1.54,0.35,0.06,0.25,21,4,0,0,2.9,2.9,0.06,0.1,0.1,Matches,1806,2369,76.2,27440,10519,1057,1171,90.3,579,745,77.7,121,297,40.7,7,7.2,6,-0.2,51,135,48,10,194,Matches,2369,1907,451,56,14,11,198,295,100,36,36,1,1806,11,68,Matches,107,3.12,66,28,4,5,4,0,12,0.35,9,3,0,0,0,0,Matches,91,63,43,34,14,62,120,51.7,58,63,18,45,34,125,102,3,Matches,2786,161,783,1098,929,69,2786,57,26,45.6,24,42.1,1369,5484,2925,57,46,10,37,15,1670,158,Matches
20723,Pelly Ruddock Mpanzu,Midfield,Defensive Midfield,cd COD,MF,Luton Town,eng Premier League,30,1993,12.2,0,11,1,9.1,0.9,0.08,0,0,19.7,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,268,364,73.6,4413,1102,123,141,87.2,110,143,76.9,16,36,44.4,0,0.4,1.4,-0.4,6,17,13,2,34,Matches,364,338,24,7,0,7,11,8,2,0,0,0,268,2,13,Matches,19,1.55,12,1,2,1,2,1,0,0,0,0,0,0,0,0,Matches,13,5,6,6,1,5,9,55.6,4,15,7,8,9,22,16,3,Matches,481,30,114,240,130,15,481,16,9,56.3,6,37.5,235,961,378,10,7,5,12,16,270,15,Matches
20725,Pep Biel,Attack,Attacking Midfield,es ESP,"MF,FW",Augsburg,de Bundesliga,26,1996,3.2,0,6,1,16.7,1.89,0.32,0,0,15,0,0,0,1,1,0.17,-1,-1,Matches,99,123,80.5,1673,542,51,54,94.4,32,41,78,11,19,57.9,0,0.2,0.3,-0.2,4,15,4,2,16,Matches,123,113,10,3,0,1,14,0,6,1,4,0,99,0,2,Matches,10,3.17,7,2,1,0,0,0,0,0,0,0,0,0,0,0,Matches,4,3,0,2,2,1,3,33.3,2,2,1,1,2,6,2,0,Matches,156,2,23,71,63,11,156,7,6,85.7,1,14.3,78,414,138,2,2,1,13,1,97,16,Matches
20756,Perr Schuurs,Defender,Centre-Back,nl NED,DF,Torino,it Serie A,23,1999,8.6,1,7,1,14.3,0.82,0.12,0.14,1,25.5,0,0,0,0.7,0.7,0.1,0.3,0.3,Matches,359,406,88.4,6478,1868,141,155,91,187,199,94,27,41,65.9,0,0,0.4,0,0,17,1,1,19,Matches,406,393,12,9,0,6,2,3,0,0,0,0,359,1,4,Matches,2,0.23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,20,12,11,8,1,3,9,33.3,6,10,2,8,9,29,23,0,Matches,500,42,239,233,34,7,500,2,2,100,0,0,285,1289,562,9,6,0,9,5,296,4,Matches
20839,Phil Foden,Midfield,Central Midfield,eng ENG,"FW,MF",Manchester City,eng Premier League,23,2000,31.7,19,105,48,45.7,3.31,1.51,0.18,0.4,18.5,4,0,0,10.3,10.3,0.1,8.7,8.7,Matches,1511,1767,85.5,20347,3769,990,1053,94,388,449,86.4,68,135,50.4,8,8.4,6.9,-0.4,73,71,57,5,168,Matches,1767,1684,79,19,15,6,89,4,50,26,14,0,1511,4,49,Matches,144,4.54,111,9,9,6,8,1,21,0.66,16,1,1,0,3,0,Matches,31,20,11,10,10,13,31,41.9,18,30,0,30,13,44,18,1,Matches,2146,22,174,785,1211,190,2146,102,47,46.1,46,45.1,1435,6921,3434,93,79,56,62,49,1753,269,Matches
20847,Philip Billing,Midfield,Central Midfield,dk DEN,MF,Bournemouth,eng Premier League,27,1996,15.5,2,30,8,26.7,1.93,0.52,0.07,0.25,20.6,7,0,0,2.5,2.5,0.08,-0.5,-0.5,Matches,404,537,75.2,6037,1791,232,279,83.2,121,153,79.1,31,56,55.4,2,3.2,2.1,-1.2,23,39,15,4,53,Matches,537,518,17,4,0,6,29,5,6,3,1,0,404,2,17,Matches,46,2.96,40,2,1,2,1,0,5,0.32,5,0,0,0,0,0,Matches,33,16,7,22,4,9,27,33.3,18,31,5,26,20,53,28,1,Matches,755,43,139,337,286,60,755,33,12,36.4,18,54.5,366,1772,798,22,23,6,27,17,438,63,Matches
20861,Philipp Hofmann,Attack,Centre-Forward,de GER,FW,Bochum,de Bundesliga,30,1993,17.5,4,39,15,38.5,2.23,0.86,0.1,0.27,11.7,0,0,0,4.8,4.8,0.12,-0.8,-0.8,Matches,266,416,63.9,3468,648,167,233,71.7,77,130,59.2,6,10,60,2,1.7,1.3,0.3,19,17,11,0,36,Matches,416,403,11,0,1,0,3,0,0,0,0,0,266,2,9,Matches,51,2.92,32,0,2,9,7,1,4,0.23,2,0,0,2,0,0,Matches,10,5,4,5,1,4,7,57.1,3,11,2,9,4,14,17,0,Matches,581,16,45,282,257,84,581,15,9,60,6,40,256,907,208,7,6,2,43,14,435,86,Matches
20867,Philipp Lienhart,Defender,Centre-Back,at AUT,DF,Freiburg,de Bundesliga,27,1996,14.1,1,7,3,42.9,0.5,0.21,0.14,0.33,9.6,0,0,0,1.1,1.1,0.16,-0.1,-0.1,Matches,814,982,82.9,16894,6421,236,268,88.1,465,501,92.8,111,199,55.8,0,1.1,0.6,-1.1,3,51,5,0,53,Matches,982,914,65,31,2,8,4,17,0,0,0,0,814,3,6,Matches,14,1,13,0,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches,20,13,14,5,1,13,23,56.5,10,18,11,7,14,34,51,0,Matches,1114,110,564,520,39,9,1114,3,0,0,3,100,730,4866,2716,14,12,0,7,0,738,3,Matches
20868,Philipp Max,Defender,Left-Back,de GER,DF,Eint Frankfurt,de Bundesliga,29,1993,15,1,8,2,25,0.53,0.13,0.13,0.5,24.2,0,0,0,0.2,0.2,0.03,0.8,0.8,Matches,742,898,82.6,11783,4002,386,415,93,299,358,83.5,45,91,49.5,2,2.8,2.4,-0.8,20,54,15,9,63,Matches,898,730,166,23,1,3,59,130,13,5,6,0,742,2,12,Matches,34,2.27,24,6,2,2,0,0,4,0.27,3,0,0,1,0,0,Matches,26,17,6,18,2,19,26,73.1,7,18,1,17,7,33,18,2,Matches,1006,25,249,543,225,20,1006,11,6,54.5,5,45.5,523,2613,1344,25,15,2,11,3,634,56,Matches
20887,Phillipp Mwene,Defender,Right-Back,at AUT,DF,Mainz 05,de Bundesliga,29,1994,22.2,1,24,9,37.5,1.08,0.41,0.04,0.11,19.2,0,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches,652,934,69.8,11014,4320,330,393,84,235,334,70.4,69,148,46.6,2,2,2.6,0,22,49,32,15,73,Matches,934,703,225,16,0,4,86,183,26,5,16,0,652,6,35,Matches,56,2.52,37,10,4,2,2,1,2,0.09,2,0,0,0,0,0,Matches,34,15,15,16,3,16,33,48.5,17,27,3,24,17,51,47,0,Matches,1151,43,302,480,381,29,1151,32,15,46.9,13,40.6,508,3246,1571,50,32,6,26,14,587,93,Matches
20949,Pietro Pellegri,Attack,Centre-Forward,it ITA,FW,Torino,it Serie A,22,2001,8.4,1,13,4,30.8,1.55,0.48,0.08,0.25,10.2,0,0,0,1,1,0.08,0,0,Matches,86,138,62.3,1094,113,60,81,74.1,16,30,53.3,4,7,57.1,1,0.3,0.1,0.7,4,3,0,0,8,Matches,138,124,14,0,0,0,5,2,0,0,0,0,86,0,8,Matches,12,1.43,5,0,1,1,5,0,1,0.12,1,0,0,0,0,0,Matches,5,1,1,4,0,1,5,20,4,4,1,3,2,7,3,0,Matches,231,5,18,99,123,25,231,15,5,33.3,7,46.7,129,835,366,14,15,2,25,15,162,52,Matches
20962,Piotr Zielinski,Attack,Attacking Midfield,pl POL,MF,Napoli,it Serie A,29,1994,21.4,3,29,8,27.6,1.36,0.37,0.07,0.25,21.4,3,1,1,2.6,1.8,0.06,0.4,0.2,Matches,1037,1255,82.6,15627,5245,585,626,93.5,326,394,82.7,78,155,50.3,2,3.4,3.2,-1.4,48,129,35,2,131,Matches,1255,1145,102,28,5,7,89,2,68,14,37,0,1037,8,17,Matches,91,4.26,60,21,4,5,1,0,8,0.37,4,1,0,2,1,0,Matches,23,15,6,13,4,12,24,50,12,12,1,11,9,32,15,0,Matches,1396,26,217,687,503,35,1395,34,16,47.1,16,47.1,819,4256,1956,38,50,6,23,14,1072,88,Matches
